,job_title,skills,experience,job_requirement
38,Sr. Backend Developer,"['ASP.NET', 'BACKEND', 'Computer Science', 'Development', 'SOFTWARE', 'SQL', 'Software Development', '.net', 'C#', 'WCF', 'Information Technology (IT)', 'APIs']",5 To 7 Years,Job Requirements: Bachelor’s Degree in Computer Science or Information Technology A minimum of 4 years’ experience in software development. The following technical requirements are a must: C#. ASP.net. .NET core. ADO.net. Entity Framework and LINQ MS SQL server. including development using SQL and Transact-SQ Unit Testing An understanding of SOLID software design principles Strong grasp of software design patterns and effective development methodologies Familiarity with .NET webAPI and/or WCF Knowledge of RESTful APIs concepts GIT source control basic knowledge The following technical requirements are a plus:   General DevOps knowledge GraphQL Performance Optimization Concurrency .Threading and parallel programing Crystal reports/Microsoft reporting services Good command of Arabic and English Excellent communication skills (written. verbal and listening) Able to build partnerships and work well in teams Can identify problems and refer/escalate complex issues to a higher level Ensure deliverable are always of a high quality Self-motivated. clever and maintains a positive attitude
39,Senior Backend Developer,"['Information Technology (IT)', 'Computer Science', 'Software Engineering', 'Software Development', 'PHP', 'Laravel', 'Agile', 'Software', 'API', 'REST', 'SQL', 'Engineering', 'YII', 'English']",More Than 5 Years,BS/MS degree in Computer Science. Engineering. MIS or similar relevant field Minimum 5 years of relevant experience. In depth knowledge of object-oriented PHP and Laravel 5+ PHP Framework. Yii PHP Framework is a plus. Hands on experience with SQL schema design. SOLID principles. REST API design Able to work with GitHub. Good understanding of security and scalability issues. In-depth understanding of the entire development process (design. deployment) Knowledge of architectural styles and design patterns. Data modeling and database design experience. Ability to optimize the code and performance Ability to build scalable products with high quality. Familiar with Docker The candidate should possess solid communication. interpersonal and leadership skills and should be comfortable working in very dynamic and collaborative work environment. Candidate must exhibit problem solving skills and ability to take initiatives and learn fast. Awesome. Multi-Tasker and Agile is a must English Fluent ( Conversation. writing & reading)
40,Backend Developer (PHP/ Kotlin/ Microservices/ MySQL/ NoSQL),"['PHP', 'backend', 'JavaScript', 'Java', 'SQL', 'Docker', 'Computer Science', 'Information Technology (IT)', 'Programming', 'Software', 'Software Development', 'Software Engineering', 'GCP', 'GKE', 'Kotlin']",More Than 2 Years,• Bachelor’s degree in computer programming. computer science. or a related field. • Over all experience 2+ years in software industry. • You have professional experience with expert-level knowledge of Backend. frontend languages and frameworks (Java | Kotlin | PHP | Angualr | javascript | Typescript) • Experience designing. implementing. and using RESTful Web Services with Service-Oriented Architecture. • Knowledge of OOP and micro-service architectures. • Good understanding of applications security and performance. • Good understanding of DDD methodologies. • Knowledge of architectural styles and design patterns. • Data modeling and database design experience. • Deep understanding of SQL. NoSQL databases and database design • Experience working with containers and container orchestration (docker and k8s) • Experience working with GCP and GKE is a plus
41,Backend Developer,"['MySQL', 'PHP', 'Computer Science', 'Engineering', 'CSS', 'Software Engineering', 'Information Technology (IT)', 'Java', 'Laravel', 'JavaScript', 'Software', 'Software Development', 'CSS3', 'HTML']",More Than 3 Years,Job Requirements: Highly knowledgeable and experienced in LAMP/WAMP (Linux/Windows. Apache. MySQL. PHP) and related frameworks (e.g. Laravel) to deliver high-demand solutions and applications. Highly knowledgeable and experienced in databases like MySQL. Oracle. and/or MongoDB. Strong knowledge and experience in Node.JS. JavaScript. CSS. and HTML Strong knowledge and experience in Linux and Windows operating systems Knowledge and experience in MS .NET / C#. Java. or Python are a plus Knowledge and experience in ChatBot development are a plus Knowledge and experience in Mobile VAS and Carrier Billing are a plus Highly knowledgeable and experienced in the software development processes and the different software development management methodologies Focused on continuous improvement of development processes and frameworks Highly skilled in problems identification and solving Highly skilled in verbal and written communication with other teams Excellent project management skills. Knowledge and experience in modern ways to secure Back End systems by use of best practices in programming. security software. and other networking tools. Education and Experience: A Bachelor’s Degree in an IT or Engineering field. 3+ years of experience Language Skills: Excellent English skills Excellent Arabic skills and previous Experience in developing systems/applications with Arabic user experiences.
42,Senior Software Developer – Backend,"['.Net', 'ASP.Net', 'Computer Science', 'JavaScript', 'MySQL', 'HTML', 'CSS', 'Software Engineering', 'Web Development', 'Software Development', 'Programming', 'Information Technology (IT)', 'Backend']",4 To 6 Years,Experience with Single-Page Applications design and architecture Cross-platform technologies Git version control Software Development Life Cycle Good understanding of design patterns. and object-oriented analysis. design. and programming. Familiarity with web development frameworks such as Angular. React. Blazor. ... Familiarity with technologies associated with JavaScript. HTML. and CSS Proven work experience as a senior Specialist. Team management skills Very Good analytical. debugging and problem-solving skills Good written and verbal communication skills
43,Back-End Java Developer [CGEG21].,"['Computer Science', 'Information Technology (IT)', 'Engineering', 'Software Engineering', 'Software Development', 'Java Development', 'Design', 'Java EE', 'javaScript', 'J2EE', 'AJAX', 'Oracle', 'SQL', 'MongoDB', 'Ibatis', 'Hibernate', 'Spring MVC', 'JSF', 'PrimeFaces', 'Richfaces', 'IceFaces', 'Eclipse', 'TDD', 'BDD', 'GIT', 'Java', 'Software', 'Spring', 'MVC']",2 To 5 Years,BS/MS degree in Computer Science. Engineering or a related subject Proven hands-on Software Development experience Proven working experience in Java development during the last 2-3 years Hands-on experience in designing and developing applications using Java EE platforms Object-Oriented analysis and design using common design patterns. Profound insight of Java and J2EE. JavaScript and Ajax Excellent knowledge of Relational Databases: Oracle and SQL. Knowledge with nonrelational databases: MongoDB (desirable) Excellent knowledge of Ibatis and Hibernate Experience in developing web applications using Spring MVC. JSF (desirable) Experience in PrimeFaces. Richfaces or IceFaces (all of them desirable) Experience with test-driven development (desirable) Experience in Eclipse Experience with test-driven development (TDD) & Behaviour Driven Development (BDD) Experience in GIT (gitflow) Experience in SQL Developer Data Modeler (desirable) Detail-oriented and excellent concentration ability An analytical mindset and critical thinking Demonstrable ability to discover and fix errors in the code Software engineering or relevant discipline Intermediate level of English and French (desirable)
44,Senior Backend Developer,"['Angular', 'API', 'MVC', 'Software Development', 'Computer Science', 'Information Technology (IT)', 'Software Engineering', 'Development', 'Computer Engineering']",3 To 5 Years,Bachelor's degree in Computer Engineering. Computer Science. or equivalent discipline.  3-5 years of experience.  .NET technologies (Web API. MVC. SQL server)  Experience in development for CRM/ERP application is a plus  Experience in NopCommerce is a plus  Knowledge of any of the following: Azure. MongoDB. Magento or Angular 2 is a plus.  Very Good English Skills. 
45,Customer Service Manager,"['Customer Support', 'Customer Care', 'Electronics', 'communications']",More Than 2 Years,At least two years of experience in a Customer Service Manager position. Preferably working in the field of communications and electronics. Working with  software and CRM programs
46,Customer Service Coordinator,"['Customer Service', 'Customer Service Management', 'Social Media', 'Social Media Optimization', 'Social Media Advertising', 'Social Media Strategy', 'Customer Support', 'Customer Care', 'Customer Relations', 'Customer Satisfaction', 'English', 'Inbound Calls', 'Sales']",1 To 2 Years,#Mark&Shark is Hiring customer service agents to handle the customer inquiries & sales lead on inbound calls. outbound calls. social media  Rotational shifts: Only 2 shifts 9 AM to 5 PM OR  4 PM to 12 AM  One day off rotational  Calls inbound. outbound & social media (Facebook. Instagram)  Max Age: 25  Males Only for now  English level: very good (speaking & writing)  Salary: according to experience  Location: Nasr city  Preferred near areas to Nasr city    Previous experience with customer service  Commissions for the successful sales
47,Customer Service Agent - Alexandria,"['Agent', 'Customer Care', 'Customer Service', 'Customer service agent', 'Customer Support', 'Service']",0 To 1 Year,Good Communication Skills.  Customer Service Support Experience.  Excellent Listening Skills.  Ability to Work in Fast-Paced Environment
48,Operations & Customer Service Specialist,"['Sales', 'Customer Service', 'Customer', 'Customer Service Representative', 'Real Estate', 'Sales Skills', 'Microsoft Office', 'Computer Skills', 'Customer Care', 'Customer Support', 'English', 'Microsoft']",3 To 6 Years,Customer Service Representative - Real Estate experience is a must 3 - 6 years of experience High communication skills Males only Max Age 35  Very Good English & Microsoft Office skills 
49,Customer Service Representative,"['Customer Service', 'Communication', 'Customer Care', 'MS Office', 'Communication Skills', 'English']",More Than 2 Years,Bachelor’s Degree. Experience in customer service at least two years Good in English Knowledge of MS Office Good communication skills Prioritizing. time management and organizational skills Strong phone contact handling skills and active listening
50,Portuguese Customer Service Representative,"['Call Center', 'Customer Service', 'Customer Support', 'Customer Care', 'Business Process Outsourcing', 'Outsourcing', 'Customer service representative', 'English', 'Sales']",0 To 10 Years,Super Traits we are looking for in you: Customer Focus Communication Composure Problem Solving Flexibility Superpowers we are looking for in you: Portuguese proficiency level B2 Good understanding of English Portuguese proficiency level B2 Good understanding of English
51,Customer Service Representative,"['Communication skills', 'Customer Care', 'Customer', 'Customer Service', 'Customer Support', 'Sales', 'Call Center']",1 To 3 Years,1-3 years' experience in Customer Service. Good knowledge of industry standards. Attention to detail. Good Communication skills.
52,Customer Service Representative - Excellent English Speakers,"['English', 'Customer Support', 'Customer Care', 'Call Center', 'Contact Center', 'Sales', 'Negotiation', 'Telesales', 'Marketing', 'Communication', 'fluent']",Not Specified,Excellent English speakers (B2) Graduates Maximum age: 33 communication skills. Excellent sales skills Negotiation skills
53,Vendor Customer Service (Product Return Specialist),"['Sales/Retail', 'Customer', 'Customer Service', 'Customer Support', 'vendor', 'specialist']",More Than 3 Years,Background. Experience. Qualifications Experience: 3+ years University Degree SAP system knowledge is a must MS Office Skills
54,Customer Service Clerk,"['Customer Care', 'Customer Support']",1 To 2 Years,Males & Females. Presentable. Excellent communication skills University Graduate is a must.
55,Customer Service Representative - (Real Estate),"['Customer Support', 'Real Estate', 'Customer Care', 'Sales', 'Communication skills', 'English']",1 To 3 Years,Females Only Bachelor Degree Experience in Real Estate companies is a must 1+ years of experience Very Good English Level Presentable Strong communication skills and able to deal with different types of people Living in Nearby areas
56,Customer Service Manager,"['Communication', 'Communication skills', 'Customer', 'Customer Care', 'Customer Service', 'Customer Support', 'Sales', 'English', 'Customer Service Management', 'Management']",More Than 5 Years,2 to 3 Years Proven working experience as a Customer Service Manager. 5 Years Experience in providing customer service support Excellent knowledge of management methods and techniques Proficiency in English Working knowledge of customer service software. databases and tools Awareness of industry’s latest technology trends and applications Ability to think strategically and to lead Strong client-facing and communication skills
57,Customer Service Agent,"['Customer', 'Customer Care', 'Customer service agent', 'Customer Support', 'Service', 'Customer Service', 'Sales', 'Agent']",1 To 4 Years,Maximum age: 30 Bachelor's degree in any field. 1-4 years of work experience. communication skills. Excellent sales skills. Negotiation skills. Good command of both English and Arabic Languages. Good Knowledge of computer & Microsoft offices. Previous experience in hospitality is preferred. Flexible with Rotational days off.
58,Customer service Advisor,"['Customer Support', 'English', 'Marketing', 'Skills', 'Sales', 'Customer Service', 'Communication', 'social']",2 To 4 Years,Excellent English speakers (B2) Graduates Maximum age: 33 communication skills. Excellent sales skills Negotiation skills 2-4 years experience Fluency in spoken English  is A MUST Excellent written communication in English Good presentation skills University Graduate - preferably with a background in PR. marketing. travel. social sciences. liberal arts. Team player that can multitask. has an eye for detail. very much a people person.
59,Customer Service Agent,"['English', 'Customer Support', 'Technical Support', 'Customer Care', 'c1']",0 To 1 Year,English proficiency (B2 to C1)  General understanding of internet technologies  Understanding of Windows XP and Apple OS 10 a plus  Ability to work in a collegial fashion with peers in other organizational units  Ability to work independently and problem solve in a rapidly changing and sometimes ambiguous environment  Previous experience in a customer or technical support role a plus
60,Data Scientist,"['Engineering - Telecom/Technology', 'Computer Science', 'Data', 'Data Science', 'Engineering', 'Machine Learning', 'SQL', 'Statistics', 'Science', 'Information Technology (IT)']",3 To 5 Years,Who you are: Bachelor’s degree in computer science or engineering. preferably a master’s degree in data science or relevant fields. 3-5 years of experience in the data science field. Must be self-motivated. results-driven. and able to work with minimum supervision. A creative problem-solver who is passionate about digging into sophisticated problems and devising new approaches to reach results. You have a strong understanding of statistics. data modelling. machine learning and optimization techniques. You possess proven hands-on skills in sourcing. cleaning. manipulating. analyzing. visualizing and modeling of real data. Extensive experience about model deployment in the cloud. Extensive experience with programming languages such as SQL. R. Python. Comfortable with ambiguity and rapid changes common in early-stage product development Able to communicate complex ideas effectively – both verbally and in writing Excellent English and Arabic communication skills (fluency in reading. writing. speaking).
61,Data Scientist,"['Engineering - Telecom/Technology', 'Computer Science', 'Data Science', 'Information Technology (IT)', 'Machine Learning', 'MongoDB', 'Naive Bayes', 'NLP', 'Python', 'Scripting', 'SQL', 'Statistics']",3 To 5 Years,Bachelor or Master’s Degree with an emphasis on Computer Science or Engineering At least three years’ experience in data science projects Excellent understanding of machine learning techniques and algorithms. such as Gradient boosting. Naive Bayes. RNNs. CNNs. k-NN. SVM. Random Forests. etc. Experience with common data science toolkits. such as (NumPy. Matplotlib. pandas. Tensorflow/Pytorch. sklearn.seaborn. …etc.)  Experience with NLP.  Experience with Dataiku data science studio.  Great communication skills  Experience with data visualization tools. such as D3.js. Tableau. etc.  Proficiency in using query languages such as SQL. Hive. Impala  Experience with NoSQL databases. such as MongoDB. Cassandra. HBase Good applied statistics skills. such as distributions. statistical testing. regression. etc. Good scripting and programming skills Data-oriented personality
62,Sr. Data Scientist - NLP / Video analytics,"['Computer Science', 'data scientist', 'Mathematics', 'Machine Learning', 'SQL', 'Python', 'NoSQL', 'Tableau', 'Data', 'Image Processing', 'Information Technology (IT)', 'coding', 'Analytics']",More Than 2 Years,BSc in computer science. mathematics or related field 2 years + of applying machine learning to solve real problems in the industry or academia Looking for young and bright talents that can learn quickly new technology and grow with the company. Strong coding experience in Phyton Highly motivated  with a strong desire to learn Experience with using analytics and reporting tools and languages especially Python. Tableau. Power BL. SQL. NoSQL and JavaScript Knowledge and experience in Data tools and models Excellent problem solving and analytical skills Business understanding Good command of written and spoken English
63,Team Lead Data Scientist,"['Information Technology (IT)', 'Machine Learning', 'Computer Engineering', 'Computer Science', 'Algorithms']",More Than 5 Years,Minimum 5 years of proven experience as a Data Scientist. Deep knowledge of math. probability. statistics and algorithms. Experience of working on Machine learning projects using R / Python.Familiarity with Scala. Java or C++ is an asset Familiar with Linux environment. Excellent communication skills. Deep knowledge of machine learning methods and applications. Familiarity with machine learning frameworks (Spark Mlib. R ML packages. Pandas . Tensorflow or PyTorch) Understanding of BIG data technology basics with special interest in machine learning implementation in BIG data is a plus. Strong database/SQL skills. and able to work with huge data sets from Hadoop. BSc in Computer Science. Computer Engineering or similar field; Master’s degree is a plus.
64,Data Scientist / Machine Learning Engineer,"['Engineering - Telecom/Technology', 'Computer Science', 'Data', 'data scientist', 'Information Technology (IT)', 'Machine', 'Machine Learning', 'Python', 'SQL', 'NoSQL', 'TensorFlow', 'Mathematics', 'JavaScript', 'Engineering', 'Deep Learning', 'computer']",More Than 2 Years,BSc in computer science. engineering. mathematics. or relevant field 2+ years of applying machine learning to solve real-world problems in industry or academia Experience with Deep Learning frameworks such as Tensorflow or Pytorch Strong coding experience in Python Highly motivated with a strong desire to learn Excellent problem-solving skills Strong knowledge and experience of using analytics and reporting tools and languages especially Python. Tableau. Power BI. SQL. NoSQL. JavaScript. Knowledge and experience of Data tools and models Business understanding SAS. R Knowledge and experience of Data tools and models Knowledge of our industry and markets
65,Data Scientist,"['Engineering - Telecom/Technology', 'Clustering', 'Computer Science', 'Data Mining', 'Data Science', 'Information Technology (IT)', 'Machine Learning', 'mathematical', 'Mathematics', 'Neural Networks', 'Programming', 'Statistics', 'Python']",2 To 4 Years, Bachelor’s in Computer Science. Statistics. Mathematics or relevant field. or equivalent 2-4 years in the field of information and business intelligence systems. Experience using pandas. numpy. scikit-learn. xgboost and matplotlib Experience in one or more programming languages (Python. R. Scala. R. etc.) Advanced SQL Experience with A/B testing Knowledgeable of machine learning. data mining. recommender systems Strong applied mathematical and statistical skills regardless of the tools (fit regression curves. build predictive models. statistical significance). Knowledge of a variety of machine learning techniques (clustering. decision tree learning. artificial neural networks. etc.) and their real-world advantages/drawbacks We Offer: Financial stability; Interesting and challenging projects within professional self-managed teams; Friendly team and a comfortable working environment (Cairo office) Medical Insurance
66,Data Scientist,"['Engineering - Telecom/Technology', 'Information Technology (IT)', 'Telecommunication', 'SQL', 'Power BI', 'Data', 'data scientist', 'Python', 'Statistics', 'Computer Science', 'Data Science', 'Data Mining', 'Database', 'Mathematics', 'NoSQL', 'MBA']",3 To 5 Years,Experience:  Proven working experience of providing valuable insights as a data analyst or data scientist. Significant experience in a similar role and industry. Knowledge:   Strong knowledge and experience of using analytics and reporting tools and languages especially Python. Tableau. PowerBI. SQL. NoSQL. JavaScript. Knowledge and experience of Data tools and models Business understanding SAS. R Knowledge and experience of Data tools and models Knowledge of our industry and markets Skills: Technical expertise regarding data models. database design. data manipulation. data mining and segmentation techniques Strong analytics skills with the ability to collect. organize. analyze and disseminate significant amounts of information with attention to detail and accuracy decision trees; random forests; Naïve Bayes classifiers k-nearest neighbor; logistic regression linear regression; and k-means clustering AI technologies. Deep learning and machine learning Adept at queries. report writing and presenting findings Acquisition data from primary and/or secondary sources Ability to present and communicate across the business Experience of proactively finding areas to add value to the business as well as fulfilling existing demand Qualifications Data Science. Statistics BS in Mathematics. Economics. Computer Science. Information Management. Desirable Qualifications (Not a must) MSc level MBA
67,Junior Data Scientist - Temporary Role,"['Engineering - Telecom/Technology', 'Data Science', 'Data Scientist', 'AI', 'Machine Learning', 'Information Technology (IT)', 'Computer Science', 'Engineering', 'Python', 'SQL', 'javaScript', 'NLP', 'Social Listening', 'Econometric Learning', 'Statistical Learning', 'Tableau', 'Qlik', 'D3', 'Consumer Goods', 'Social Media', 'Python/R']",1 To 4 Years,Numeric background (degree or equivalent. Masters preferred) Some business experience Strong willingness to learn and can-do attitude Some ability to code (Python or R required. SQL and JS preferred) Some experience with social listening and NLP tools Some ability to devise statistical/econometric/machine learning models Experience driving business value from consumer insight Experience with visualization tools (Tableau. Qlik. D3 or equivalent) Some experience with consumer goods data sets Passion for the social and digital world and its implications for business
68,Junior Data Scientist/ML Engineer,"['Engineering - Telecom/Technology', 'Computer Science', 'Machine Learning', 'Data Science', 'Python', 'Engineering', 'ETL', 'Cloud', 'Information Technology (IT)', 'SQL', 'Statistics', 'Mathematics', 'Science', 'Hadoop', 'Software Engineering', 'Programming']",0 To 3 Years,Basic Job Qualifications: Strong engineering background preferably in computer science. mathematics. data science. or statistics Previous experience in statistics and machine learning (MOOC. university thesis. independent projects.. etc.) Proficiency in at least one modern programming language: python. java. or C#. Provable experience with data wrangling and cleaning methodologies is a must. Provably working knowledge of SQL and ETL scripting is a must. Experience with data visualization best practices. Preferred Qualification: Experience with Spark SQL and Structured Streaming. Experience in architecting large-scale distributed data systems considering scalability. reliability. security. performance. and flexibility. Experience with distributed computing systems and/or cloud infrastructures (e.g. Spark. Hadoop. YARN. Kubernetes. AWS. etc.) is a plus.
69,Senior Data Scientist,"['Data Science', 'English', 'data scientist', 'Python']",3 To 5 Years,Requirements: - 3-5 years of experience in data scientist. actuary. or statistician role(s); - Extensive experience with OOP (Python); - Strong knowledge of major Python packages for data processing (e.g. numpy. pandas). ML (e.g. statsmodels. sklearn. xgboost. keras). and visualization (e.g. seaborn); - Ability to develop ML models from scratch and to bring them to production; - Strong knowledge of best practices for data science; - Good English communication skills and ability to perform in fast-paced and multicultural environment.
70,Data Scientist,"['Data Science', 'Python', 'Software']",2 To 4 Years,Technical Skills: Python (pandas. sci-kit. or-tools. TensorFlow. PyTorch etc) Ability to use typical Machine Learning & Deep Learning techniques in a business context. Other Skills: Agile Software Development Technical writing
71,Sr.Data Scientist,"['Engineering - Telecom/Technology', 'Computer Science', 'Data Science', 'Information Technology (IT)', 'Mathematics', 'Data', 'MySQL', 'Science', 'SQL', 'Python', 'Statistics']",5 To 8 Years,Bachelor’s in Computer Science. Statistics. Mathematics or relevant field Experience : 5 To 8 Technical Knowledge : Acquaintance with using statistical computer languages and querying databases with (R. Python. SQL. MySQL etc.) to manipulate data and draw insights from large data sets.
72,Full Stack Developer,"['Engineering - Telecom/Technology', '.Net', 'Agile', 'Angular', 'APIs', 'ASP.Net', 'Computer Science', 'Engineering', 'Information Technology (IT)', 'JavaScript', 'Software Development', 'SQL']",4 To 6 Years,BSc/BA in Computer Science. Engineering or a related field Proven experience as a .NET Developer More than 4 years of development experience using C# .NET Familiarity with the ASP.NET framework. SQL Server and design/architectural patterns  Familiarity with the microservice architecture Experience in ASP.NET Core 2.x and EF Core . Proficiency with angular. JavaScript and HTML5 Creating self-contained. reusable. and testable modules and components  More than 1 year of development experience using angular +2 Strong understanding of object-oriented programming Skill for writing reusable libraries Understanding of fundamental design principles for building a scalable application Experience creating database schemas that represent and support business processes understanding of code versioning tools Familiarity with architecture styles/APIs (REST. RPC)  Familiar with Azure Cloud and Service Fabric Familiar with Agile Scrum development approach Experience in Swagger and Swagger generation tools Excellent troubleshooting and communication skills Knowledge about big data and No-SQL database is advantages Attention to detail
73,AI Clinical Consultant (Radiologists),"['Medical/Healthcare', 'Computer Science', 'Information Technology (IT)', 'Management', 'Radiology', 'Clinical Research', 'pacs', 'RIS', 'DICOM']",5 To 7 Years,Education: Bachelor of Radiology or a related discipline. (PhD in Radiology and Imaging is highly preferred). Years of Experience: +5 years of solid experience as a Radiologist. Knowledge/skills:   Most preferable to have experience dealing with PACS system Having a working knowledge of industry related software including spreadsheets and word processing. Ability to handle multiple projects and priorities within a fast paced environment. Ability to effectively communicate ideas to all levels of management and subordinates. Excellent verbal. written and problem solving skills are required in this role.
74,Senior BI Developer,"['BI', 'Microsoft SQL Server', 'SSRS', 'SQL', 'SSIS', 'SSAS', 'Microsoft Azure', 'Microsoft Applications']",More Than 5 Years,Skills Adept at the use of BI reporting tools such as (Power BI. Spotfire) and (Tableau is nice to have) +5 years of experience as BI Developer Understanding data modeling. data schemas (normalized. flat. star. snowflake. etc.). Understanding database operations and optimization for Microsoft SQL Server. (Oracle DB is nice to have) Understanding data and query optimization. query profiling. and query performance monitoring tools and techniques. Creating and maintaining business requirements and other technical documentation. Strong knowledge (SSRS. SSAS. SSIS) is a must. Strong T-SQL is mandatory. MDX. (DAX. PL-SQL are nice to have) Benefits  Competitive compensation package PTO and medical Coverage In-house Technical and English training programs Interest-free loans Flexible work schedules
75,Data Analyst,"['Computer Science', 'Data Analysis', 'Data Analyst', 'Information Technology (IT)', 'Analyst', 'Data']",2 To 3 Years,Data Analyst Requirements: Bachelor’s degree from an accredited university or college in computer science. Work experience as a data analyst or in a related field. Ability to work with stakeholders to assess potential risks. Ability to analyze existing tools and databases and provide software solution recommendations. Ability to translate business requirements into non-technical. lay terms. High-level experience in methodologies and processes for managing large-scale databases. Demonstrated experience in handling large data sets and relational databases. Understanding of addressing and metadata standards. High-level written and verbal communication skills.
76,Business Intelligence Development & Data Analyst Supervisor,"['Engineering - Telecom/Technology', 'Azure', 'BI', 'Business Intelligence', 'Computer Science', 'Data', 'Data Warehouse', 'Information Technology (IT)', 'Management', 'Process Improvement', 'Computer Programs', 'Computer Engineering', 'Data Analyst']",5 To 7 Years,Strong back ground with Data Warehouse concepts. Business Intelligence & MS Azure. Office 365 & Power B Strong background with new Contact Center Technologies. Omni Desktops. Self Services. Bots. web chats. social media management platforms Strong Background with systems integrations. CTI and database engines and management systems  Have the ability to effectively lead. manage. motivate. and develop a team Understands the strategic direction and present recommendations for new technological advances and services to our contact center offerings Identify process improvement opportunities as needed
77,Data & Market Research Analyst,"['Analysis', 'business', 'Data', 'Data Analysis', 'Economics', 'Market Research', 'Statistics', 'Computer Science', 'Communication skills', 'B2B']",More Than 3 Years,Bachelor degree in computer science or equivalent. Degrees in statistics. mathematics. finance. and economics are preferred.  3+ years of relevant experience in B2C and B2B products/services. Experience in analyzing data to draw business-relevant conclusions and in data visualization techniques and tools Good communication skills along with the ability to effectively collaborate with cross functional teams
78,Data Analyst,"['Engineering - Telecom/Technology', 'Analysis', 'excel', 'Data Analysis', 'MS Excel', 'Computer Science', 'Information Technology (IT)', 'English']",0 To 1 Year,0 to 1 year of experience in a similar or related position Excellent English Excellent MS Excel Skills
79,Data Analyst,"['Engineering - Telecom/Technology', 'Analysis', 'Python', 'Information Technology (IT)', 'Mathematics', 'Data Analysis', 'Data', 'Computer Science', 'Programming', 'Statistics', 'SQL']",1 To 3 Years,Bachelor's in Statistics or Applied Mathematics or equivalent experience. Preferably Graduates from GUS. AUC. BUE & Nile university. 1 - 3 years' Data Analysis experience. Excellent numerical and analytical skills. Understanding of website scripts such as XML. JavaScript. Intermediate understanding of databases such as SQL Server. Python programming or alternative is programming languages are preferable.
80,Senior Financial Data Analyst,"['Finance', 'Financial Analysis', 'Accounting', 'Data Analysis', 'Financial', 'Data', 'Analysis', 'Commerce', 'English', 'CFA', 'Reporting']",3 To 5 Years,Bachelor degree of English Commerce is a Must. Previous experience in data analysis is a must. Gender: Male or female. Maximum age to apply: 28-30. Excellent English Command. CFA part 1 or in progress. Strong Communication skills. Researching skills. data gathering. data analysis. financial statements. must meeting the deadline. reporting skills. leadership skills.
81,Data Analyst,"['Data Analysis', 'Microsoft Power BI', 'business', 'Information Technology (IT)', 'Analysis', 'Fashion Retail', 'Computer Science', 'Microsoft Office', 'Big Data Analytics', 'Data Analysis Expressions (DAX)', 'English', 'Power BI']",1 To 3 Years,Bachelor’s Degree in Computer Since or equivalent combination of education. 1-3 years of related experience in Retail business module is preferred. Advanced skills in using Microsoft office; word. excel. Power Bi and PowerPoint. High proficiency of Arabic and English Languages. Ability to interpret. analyze. and write reports.
82,Data Analyst,"['Engineering - Telecom/Technology', 'Analyst', 'Analysis', 'Computer Science', 'Data Analysis', 'Data Analyst', 'Data', 'Statistics', 'SQL', 'Tableau', 'Power BI', 'analytical', 'SAP', 'ETL Tools', 'ETL', 'JavaScript', 'JSON', 'XML', 'Data visualization', 'Data Warehousing', 'Information Technology (IT)']",1 To 3 Years,1-3 years of experience with proven working experience as a Data Analyst or Business Data Analyst. BS in Computer Science or equivalent  Ability to translate business requirements into non-technical. lay terms. Knowledge of statistics and experience using statistical packages for analyzing data-sets. Adept at queries. report writing and presenting findings. Strong mathematical & numeracy skills. Intermediate understanding of databases such as SQL Server. Oracle and SAP. Understanding of reporting & data visualization tools such as Business Objects. Power Bi and Tableau. Understanding of website scripts such as XML. JavaScript. JSON. Understanding of ETL framework and ETL tools. Excellent analytical skills - the ability to identify trends. patterns and insights from data. Strong attention to detail. Presentation skills – ability to write and speak clearly to easily communicate complex ideas in a way that is easy to understand. Problem solving skills. Communicating with stakeholders to understand data content and business requirements.
83,Data Analyst,"['Analyst/Research', 'Computer Engineering', 'Analysis', 'Computer Science', 'Data', 'Data Analyst', 'SQL']",2 To 4 Years,Bachelor's degree in Computer Science. Computer Engineering or similar Experience needed from 2 to 4 years as a data analyst. Proficient in computer skills. Knowledge of programming languages like SQL. Oracle. R. MATLAB. and Python Knowledge in ERP & SAP system. Familiarity with supply chain processes (e.g. Shipping. ordering. Clearing) is a plus not a must Good Command of English Language. High-level written and verbal communication skills. Problem-solving skills Accuracy and attention to detail Team-working skills
84,Data Analyst,"['Analysis', 'Data Analysis', 'Computer Science', 'Information Technology (IT)', 'Data', 'SQL', 'Communication', 'Relational Databases', 'Computer', 'Web', 'Applications']",3 To 5 Years,Bachelor of Computer Science or equivalent 3-5 Years of experience in the same field Excel Expert. Advanced working SQL knowledge and experience working with relational databases. start schema. as well as working familiarity with a variety of databases Experience building and optimizing Big-Data pipelines. architectures and datasets Strong analytic skills related to working with unstructured datasets Build processes supporting data transformation. data structures. metadata. dependency and workload management G-Scripts & Macros Writer Basic Web Applications developer Professional Reporter & Presenter A successful history of manipulating. processing and extracting value from large disconnected datasets Experience supporting and working with cross-functional teams in a dynamic environment Strong written and verbal communication skills Understand of current data protection and privacy laws
85,Sales Data Analyst,"['Analysis', 'Computer Skills', 'Data Analysis', 'Sales Skills', 'English']",2 To 3 Years,Bachelor's degree or any relevant. Experience from 2-3 years Strong computer skills. Analytical Skills. Very good knowledge with database Good Command of English Language Very good communication skills Team Work  Multitasking SAP experience preferred
